subject,sex,cage_num,group,cage_rand,temp_subject
1,M,5,VEH-CON,1,9
2,M,5,VEH-CON,1,10
3,M,2,VEH-EtOH,2,3
4,M,2,VEH-EtOH,2,4
5,M,6,VEH-EtOH,3,11
6,M,6,VEH-EtOH,3,12
7,M,4,PLX-CON,4,7
8,M,4,PLX-CON,4,8
9,M,1,PLX-EtOH,5,1
10,M,1,PLX-EtOH,5,2
11,M,8,PLX-EtOH,6,15
12,M,8,PLX-EtOH,6,16
13,M,3,VEH-CON,7,5
14,M,3,VEH-CON,7,6
15,M,7,PLX-CON,8,13
16,M,7,PLX-CON,8,14
17,F,9,VEH-CON,9,17
18,F,9,VEH-CON,9,18
19,F,14,VEH-CON,10,27
20,F,14,VEH-CON,10,28
21,F,10,PLX-CON,11,19
22,F,10,PLX-CON,11,20
23,F,15,PLX-EtOH,12,29
24,F,15,PLX-EtOH,12,30
25,F,12,PLX-CON,13,23
26,F,12,PLX-CON,13,24
27,F,13,PLX-EtOH,14,25
28,F,13,PLX-EtOH,14,26
29,F,11,VEH-EtOH,15,21
30,F,11,VEH-EtOH,15,22
31,F,16,VEH-EtOH,16,31
32,F,16,VEH-EtOH,16,32
