subject,group,sex,cage_num,temp_subject,cage_rand
53,PLX-CON,F,C00026500,27,C00026488
54,PLX-CON,F,C00026500,28,C00026488
55,VEH-CON,F,C00026498,23,C00026489
56,VEH-CON,F,C00026498,24,C00026489
59,VEH-EtOH,F,C00026496,19,C00026491
60,VEH-EtOH,F,C00026496,20,C00026491
63,PLX-EtOH,F,C00026502,31,C00026493
64,PLX-EtOH,F,C00026502,32,C00026493
71,PLX-EtOH,F,C00026501,29,C00026498
72,PLX-EtOH,F,C00026501,30,C00026498
75,VEH-EtOH,F,C00026499,25,C00026500
76,VEH-EtOH,F,C00026499,26,C00026500
77,PLX-CON,F,C00026497,21,C00026501
78,PLX-CON,F,C00026497,22,C00026501
79,VEH-CON,F,C00026495,17,C00026502
80,VEH-CON,F,C00026495,18,C00026502
49,VEH-CON,M,C00026490,9,C00026486
50,VEH-CON,M,C00026490,10,C00026486
51,PLX-EtOH,M,C00026487,3,C00026487
52,PLX-EtOH,M,C00026487,4,C00026487
57,VEH-CON,M,C00026493,15,C00026490
58,VEH-CON,M,C00026493,16,C00026490
61,PLX-CON,M,C00026491,11,C00026495
62,PLX-CON,M,C00026491,12,C00026495
65,PLX-EtOH,M,C00026486,1,C00026492
66,PLX-EtOH,M,C00026486,2,C00026492
67,VEH-EtOH,M,C00026489,7,C00026496
68,VEH-EtOH,M,C00026489,8,C00026496
69,VEH-EtOH,M,C00026488,5,C00026497
70,VEH-EtOH,M,C00026488,6,C00026497
73,PLX-CON,M,C00026492,13,C00026499
74,PLX-CON,M,C00026492,14,C00026499
