subject,group,diet,drug,sex,cage_num,PLX_admin,exclude,rep_01,rep_02,rep_03,mean
1,VEH-EtOH,EtOH,VEH,F,C00022030,s.c.,N,336,346,339.6,340.53
2,VEH-EtOH,EtOH,VEH,F,C00022030,s.c.,N,304.4,319.9,312,312.10
15,VEH-EtOH,EtOH,VEH,F,C00022028,s.c.,N,449.7,447.4,440.6,445.90
16,VEH-EtOH,EtOH,VEH,F,C00022028,s.c.,N,341.4,326.8,343.1,337.10
47,VEH-EtOH,EtOH,VEH,F,C00022038,s.c.,N,271.7,273.4,266.4,270.50
48,VEH-EtOH,EtOH,VEH,F,C00022038,s.c.,N,319.7,314.2,315.2,316.37
3,VEH-EtOH,EtOH,VEH,M,C00022015,s.c.,N,403,405.8,413.4,407.40
4,VEH-EtOH,EtOH,VEH,M,C00022015,s.c.,N,395.1,405,402.8,400.97
25,VEH-EtOH,EtOH,VEH,M,C00022018,s.c.,N,335.3,330.8,332,332.70
26,VEH-EtOH,EtOH,VEH,M,C00022018,s.c.,N,433,431.7,426.6,430.43
43,VEH-EtOH,EtOH,VEH,M,C00022017,s.c.,N,382.9,348.4,356.2,362.50
44,VEH-EtOH,EtOH,VEH,M,C00022017,s.c.,N,366.5,366.9,376.8,370.07
17,PLX-EtOH,EtOH,PLX,F,C00022031,s.c.,Y_FDpre6,NA,NA,NA,NA
18,PLX-EtOH,EtOH,PLX,F,C00022031,s.c.,N,392.5,399.9,396.1,396.17
23,PLX-EtOH,EtOH,PLX,F,C00022029,s.c.,N,402.8,404.7,406.2,404.57
24,PLX-EtOH,EtOH,PLX,F,C00022029,s.c.,N,321.6,326,318.3,321.97
33,PLX-EtOH,EtOH,PLX,F,C00022033,s.c.,N,402,397.5,396.4,398.63
34,PLX-EtOH,EtOH,PLX,F,C00022033,s.c.,N,177.9,180.9,180.2,179.67
7,PLX-EtOH,EtOH,PLX,M,C00022019,s.c.,N,419.8,424.1,415.5,419.80
8,PLX-EtOH,EtOH,PLX,M,C00022019,s.c.,N,321.5,323.5,330.1,325.03
11,PLX-EtOH,EtOH,PLX,M,C00022016,s.c.,N,425,417.1,407.9,416.67
12,PLX-EtOH,EtOH,PLX,M,C00022016,s.c.,N,386.8,393.6,399.1,393.17
35,PLX-EtOH,EtOH,PLX,M,C00022021,s.c.,N,371.1,372.1,363.6,368.93
36,PLX-EtOH,EtOH,PLX,M,C00022021,s.c.,Y_FDpre6,NA,NA,NA,NA
