subject,group,diet,drug,sex,cage_num,PLX_admin,exclude,dose_01,dose_02,dose_03,dose_04,dose_05,dose_06,dose_07,dose_08,dose_09,dose_10,dose_11,dose_12
1,VEH-EtOH,EtOH,VEH,F,C00022030,s.c.,N,5,4,4,4,1,2,3,4,3,4,5,4
2,VEH-EtOH,EtOH,VEH,F,C00022030,s.c.,N,5,4,4,4,2,3,4,4,3,4,4,3
15,VEH-EtOH,EtOH,VEH,F,C00022028,s.c.,N,5,3,4,4,2,2,4,1,3,3,4,2
16,VEH-EtOH,EtOH,VEH,F,C00022028,s.c.,N,5,4,2,3,2,3,4,2,3,4,4,4
47,VEH-EtOH,EtOH,VEH,F,C00022038,s.c.,N,5,4,3,4,2,3,3,4,4,3,3,3
48,VEH-EtOH,EtOH,VEH,F,C00022038,s.c.,N,5,5,2,3,3,4,3,4,3,3,3,3
3,VEH-EtOH,EtOH,VEH,M,C00022015,s.c.,N,5,5,2,3,2,2,2,2,1,2,2,3
4,VEH-EtOH,EtOH,VEH,M,C00022015,s.c.,N,5,4,3,2,2,3,3,3,3,2,2,4
25,VEH-EtOH,EtOH,VEH,M,C00022018,s.c.,N,5,5,2,2,3,2,3,4,3,2,3,2
26,VEH-EtOH,EtOH,VEH,M,C00022018,s.c.,N,5,5,2,3,3,2,2,3,3,1,3,3
43,VEH-EtOH,EtOH,VEH,M,C00022017,s.c.,N,5,5,2,2,2,3,3,2,4,2,3,3
44,VEH-EtOH,EtOH,VEH,M,C00022017,s.c.,N,5,5,4,4,3,3,3,3,3,3,3,3
17,PLX-EtOH,EtOH,PLX,F,C00022031,s.c.,Y_FDpre6,5,4,4,3,2,NA,NA,NA,NA,NA,NA,NA
18,PLX-EtOH,EtOH,PLX,F,C00022031,s.c.,N,5,5,3,3,3,3,3,2,2,1,1,2
23,PLX-EtOH,EtOH,PLX,F,C00022029,s.c.,N,5,5,3,3,2,2,2,2,1,1,1,2
24,PLX-EtOH,EtOH,PLX,F,C00022029,s.c.,N,5,5,3,4,2,2,3,3,3,2,2,3
33,PLX-EtOH,EtOH,PLX,F,C00022033,s.c.,N,5,3,3,5,2,3,1,3,2,2,3,3
34,PLX-EtOH,EtOH,PLX,F,C00022033,s.c.,N,5,3,3,4,4,3,4,4,4,3,3,3
7,PLX-EtOH,EtOH,PLX,M,C00022019,s.c.,N,5,5,3,2,2,2,2,2,2,2,3,3
8,PLX-EtOH,EtOH,PLX,M,C00022019,s.c.,N,5,4,3,2,2,2,2,3,1,2,2,3
11,PLX-EtOH,EtOH,PLX,M,C00022016,s.c.,N,5,5,3,2,3,3,3,2,2,2,3,3
12,PLX-EtOH,EtOH,PLX,M,C00022016,s.c.,N,5,4,3,2,2,2,2,2,2,2,2,3
35,PLX-EtOH,EtOH,PLX,M,C00022021,s.c.,N,5,4,2,2,1,1,1,1,1,1,1,1
36,PLX-EtOH,EtOH,PLX,M,C00022021,s.c.,Y_FDpre6,5,3,2,3,3,NA,NA,NA,NA,NA,NA,NA
