unblind,subject,drug,diet,sex,blind_code
18_F_PLX_EtOH,18,PLX,EtOH,F,I
23_F_PLX_EtOH,23,PLX,EtOH,F,VVV
24_F_PLX_EtOH,24,PLX,EtOH,F,CCC
07_M_PLX_EtOH,07,PLX,EtOH,M,TTT
08_M_PLX_EtOH,08,PLX,EtOH,M,BBB
11_M_PLX_EtOH,11,PLX,EtOH,M,MM
12_M_PLX_EtOH,12,PLX,EtOH,M,O
01_F_VEH_EtOH,01,VEH,EtOH,F,SSS
02_F_VEH_EtOH,02,VEH,EtOH,F,PP
15_F_VEH_EtOH,15,VEH,EtOH,F,HH
16_F_VEH_EtOH,16,VEH,EtOH,F,X
03_M_VEH_EtOH,03,VEH,EtOH,M,M
04_M_VEH_EtOH,04,VEH,EtOH,M,H
21_F_PLX_CON,21,PLX,CON,F,TT
22_F_PLX_CON,22,PLX,CON,F,G
09_M_PLX_CON,09,PLX,CON,M,LL
10_M_PLX_CON,10,PLX,CON,M,XXX
19_M_PLX_CON,19,PLX,CON,M,AA
20_M_PLX_CON,20,PLX,CON,M,V
05_F_VEH_CON,05,VEH,CON,F,R
06_F_VEH_CON,06,VEH,CON,F,CC
13_M_VEH_CON,13,VEH,CON,M,EEE
14_M_VEH_CON,14,VEH,CON,M,U
33_F_PLX_EtOH,33,PLX,EtOH,F,BB
34_F_PLX_EtOH,34,PLX,EtOH,F,XX
35_M_PLX_EtOH,35,PLX,EtOH,M,SS
47_F_VEH_EtOH,47,VEH,EtOH,F,Z
48_F_VEH_EtOH,48,VEH,EtOH,F,KK
25_M_VEH_EtOH,25,VEH,EtOH,M,GG
26_M_VEH_EtOH,26,VEH,EtOH,M,KKK
43_M_VEH_EtOH,43,VEH,EtOH,M,YY
44_M_VEH_EtOH,44,VEH,EtOH,M,DD
39_F_PLX_CON,39,PLX,CON,F,D
40_F_PLX_CON,40,PLX,CON,F,DDD
41_F_PLX_CON,41,PLX,CON,F,OOO
42_F_PLX_CON,42,PLX,CON,F,FF
32_M_PLX_CON,32,PLX,CON,M,K
27_F_VEH_CON,27,VEH,CON,F,RRR
29_F_VEH_CON,29,VEH,CON,F,WW
30_F_VEH_CON,30,VEH,CON,F,UUU
37_M_VEH_CON,37,VEH,CON,M,HHH
38_M_VEH_CON,38,VEH,CON,M,N
45_M_VEH_CON,45,VEH,CON,M,NNN
46_M_VEH_CON,46,VEH,CON,M,III
63_F_PLX_EtOH,63,PLX,EtOH,F,Y
64_F_PLX_EtOH,64,PLX,EtOH,F,MMM
83_F_PLX_EtOH,83,PLX,EtOH,F,P
71_F_PLX_EtOH,71,PLX,EtOH,F,WWW
72_F_PLX_EtOH,72,PLX,EtOH,F,UU
51_M_PLX_EtOH,51,PLX,EtOH,M,PPP
65_M_PLX_EtOH,65,PLX,EtOH,M,Q
66_M_PLX_EtOH,66,PLX,EtOH,M,EE
81_M_PLX_EtOH,81,PLX,EtOH,M,W
59_F_VEH_EtOH,59,VEH,EtOH,F,NN
60_F_VEH_EtOH,60,VEH,EtOH,F,JJ
75_F_VEH_EtOH,75,VEH,EtOH,F,B
76_F_VEH_EtOH,76,VEH,EtOH,F,ZZ
68_M_VEH_EtOH,68,VEH,EtOH,M,C
69_M_VEH_EtOH,69,VEH,EtOH,M,JJJ
70_M_VEH_EtOH,70,VEH,EtOH,M,A
53_F_PLX_CON,53,PLX,CON,F,T
54_F_PLX_CON,54,PLX,CON,F,J
77_F_PLX_CON,77,PLX,CON,F,RR
61_M_PLX_CON,61,PLX,CON,M,QQ
62_M_PLX_CON,62,PLX,CON,M,VV
73_M_PLX_CON,73,PLX,CON,M,S
74_M_PLX_CON,74,PLX,CON,M,E
82_M_PLX_CON,82,PLX,CON,M,AAA
55_F_VEH_CON,55,VEH,CON,F,OO
56_F_VEH_CON,56,VEH,CON,F,II
84_F_VEH_CON,84,VEH,CON,F,YYY
79_F_VEH_CON,79,VEH,CON,F,QQQ
80_F_VEH_CON,80,VEH,CON,F,L
49_M_VEH_CON,49,VEH,CON,M,GGG
50_M_VEH_CON,50,VEH,CON,M,FFF
57_M_VEH_CON,57,VEH,CON,M,LLL
58_M_VEH_CON,58,VEH,CON,M,F
