unblind,subject,drug,diet,sex,blind_code,n_cing_retro,n_motor,n_visual,n_parietal,n_somato,n_auditory,n_ad_insul,n_hippo,n_dHippo,n_vHippo,n_peri_entor,n_pirif_apirif,n_PLCo,n_BLA,sum_cing_retro,sum_motor,sum_visual,sum_parietal,sum_somato,sum_auditory,sum_ad_insul,sum_hippo,sum_dHippo,sum_vHippo,sum_peri_entor,sum_pirif_apirif,sum_PLCo,sum_BLA,mean_cing_retro,mean_motor,mean_visual,mean_parietal,mean_somato,mean_auditory,mean_ad_insul,mean_hippo,mean_dHippo,mean_vHippo,mean_peri_entor,mean_pirif_apirif,mean_PLCo,mean_BLA
05_F_VEH_CON,05,VEH,CON,F,R,13,4,7,4,7,8,3,10,8,3,9,10,6,5,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0.2,0,0.6666666666666667,0.1111111111111111,0.10000000000000002,0,0
06_F_VEH_CON,06,VEH,CON,F,CC,12,2,9,3,5,7,2,9,7,4,10,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27_F_VEH_CON,27,VEH,CON,F,RRR,18,6,12,5,7,10,4,12,7,5,12,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29_F_VEH_CON,29,VEH,CON,F,WW,11,3,6,6,6,9,1,9,8,1,11,9,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0
30_F_VEH_CON,30,VEH,CON,F,UUU,13,4,9,2,4,5,4,9,7,3,8,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55_F_VEH_CON,55,VEH,CON,F,OO,13,2,7,6,6,9,1,10,8,2,12,10,6,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666669,0.10000000000000002,0,0
56_F_VEH_CON,56,VEH,CON,F,II,14,3,9,5,6,8,2,10,8,3,12,10,7,4,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0.3,0,1,0,0.5,0,0
84_F_VEH_CON,84,VEH,CON,F,YYY,9,3,6,2,4,5,2,5,4,2,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79_F_VEH_CON,79,VEH,CON,F,QQQ,13,5,6,4,8,6,5,10,8,3,9,9,4,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.33333333333333337,0,0
80_F_VEH_CON,80,VEH,CON,F,L,11,3,6,5,6,8,2,10,8,2,10,10,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
13_M_VEH_CON,13,VEH,CON,M,EEE,10,2,7,3,4,6,1,7,5,2,9,7,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0
14_M_VEH_CON,14,VEH,CON,M,U,12,2,9,3,5,7,2,8,6,3,10,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37_M_VEH_CON,37,VEH,CON,M,HHH,12,1,9,4,5,7,1,8,6,2,11,8,5,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.14285714285714288,0,0.125,0,0.5,0,0,0,0
38_M_VEH_CON,38,VEH,CON,M,N,19,9,9,5,8,8,8,10,7,3,10,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45_M_VEH_CON,45,VEH,CON,M,NNN,13,1,10,4,4,7,2,9,7,2,11,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46_M_VEH_CON,46,VEH,CON,M,III,12,3,9,4,5,7,2,9,7,3,11,9,5,3,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0.1111111111111111,0.14285714285714288,0,0,0.4444444444444444,0,0.33333333333333337
49_M_VEH_CON,49,VEH,CON,M,GGG,6,0,5,2,1,4,0,3,2,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0.16666666666666666,0,NA,NA
50_M_VEH_CON,50,VEH,CON,M,FFF,12,3,10,2,5,7,3,10,7,4,12,10,5,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,0,0
57_M_VEH_CON,57,VEH,CON,M,LLL,15,4,9,5,8,8,3,11,8,3,12,11,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0
58_M_VEH_CON,58,VEH,CON,M,F,12,2,7,4,6,8,2,10,7,3,9,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
