unblind,subject,drug,diet,sex,blind_code
18_F_PLX_EtOH,18,PLX,EtOH,F,PP
23_F_PLX_EtOH,23,PLX,EtOH,F,EE
24_F_PLX_EtOH,24,PLX,EtOH,F,NNN
07_M_PLX_EtOH,07,PLX,EtOH,M,O
08_M_PLX_EtOH,08,PLX,EtOH,M,H
11_M_PLX_EtOH,11,PLX,EtOH,M,OOO
12_M_PLX_EtOH,12,PLX,EtOH,M,NN
01_F_VEH_EtOH,01,VEH,EtOH,F,V
02_F_VEH_EtOH,02,VEH,EtOH,F,UU
15_F_VEH_EtOH,15,VEH,EtOH,F,UUU
16_F_VEH_EtOH,16,VEH,EtOH,F,GGG
03_M_VEH_EtOH,03,VEH,EtOH,M,L
04_M_VEH_EtOH,04,VEH,EtOH,M,YY
21_F_PLX_CON,21,PLX,CON,F,T
22_F_PLX_CON,22,PLX,CON,F,SSS
09_M_PLX_CON,09,PLX,CON,M,XX
10_M_PLX_CON,10,PLX,CON,M,XXX
19_M_PLX_CON,19,PLX,CON,M,VVV
20_M_PLX_CON,20,PLX,CON,M,F
05_F_VEH_CON,05,VEH,CON,F,P
06_F_VEH_CON,06,VEH,CON,F,RRR
13_M_VEH_CON,13,VEH,CON,M,U
14_M_VEH_CON,14,VEH,CON,M,D
33_F_PLX_EtOH,33,PLX,EtOH,F,K
34_F_PLX_EtOH,34,PLX,EtOH,F,LL
35_M_PLX_EtOH,35,PLX,EtOH,M,Z
47_F_VEH_EtOH,47,VEH,EtOH,F,W
48_F_VEH_EtOH,48,VEH,EtOH,F,B
25_M_VEH_EtOH,25,VEH,EtOH,M,JJ
26_M_VEH_EtOH,26,VEH,EtOH,M,AAA
43_M_VEH_EtOH,43,VEH,EtOH,M,QQ
44_M_VEH_EtOH,44,VEH,EtOH,M,PPP
39_F_PLX_CON,39,PLX,CON,F,Q
40_F_PLX_CON,40,PLX,CON,F,N
41_F_PLX_CON,41,PLX,CON,F,WW
42_F_PLX_CON,42,PLX,CON,F,C
32_M_PLX_CON,32,PLX,CON,M,X
27_F_VEH_CON,27,VEH,CON,F,EEE
29_F_VEH_CON,29,VEH,CON,F,TT
30_F_VEH_CON,30,VEH,CON,F,III
37_M_VEH_CON,37,VEH,CON,M,HH
38_M_VEH_CON,38,VEH,CON,M,FF
45_M_VEH_CON,45,VEH,CON,M,WWW
46_M_VEH_CON,46,VEH,CON,M,DDD
63_F_PLX_EtOH,63,PLX,EtOH,F,MM
64_F_PLX_EtOH,64,PLX,EtOH,F,ZZ
83_F_PLX_EtOH,83,PLX,EtOH,F,VV
71_F_PLX_EtOH,71,PLX,EtOH,F,OO
72_F_PLX_EtOH,72,PLX,EtOH,F,J
51_M_PLX_EtOH,51,PLX,EtOH,M,RR
65_M_PLX_EtOH,65,PLX,EtOH,M,QQQ
66_M_PLX_EtOH,66,PLX,EtOH,M,GG
81_M_PLX_EtOH,81,PLX,EtOH,M,FFF
59_F_VEH_EtOH,59,VEH,EtOH,F,R
60_F_VEH_EtOH,60,VEH,EtOH,F,MMM
75_F_VEH_EtOH,75,VEH,EtOH,F,E
76_F_VEH_EtOH,76,VEH,EtOH,F,TTT
68_M_VEH_EtOH,68,VEH,EtOH,M,YYY
69_M_VEH_EtOH,69,VEH,EtOH,M,I
70_M_VEH_EtOH,70,VEH,EtOH,M,Y
53_F_PLX_CON,53,PLX,CON,F,AA
54_F_PLX_CON,54,PLX,CON,F,II
77_F_PLX_CON,77,PLX,CON,F,JJJ
61_M_PLX_CON,61,PLX,CON,M,HHH
62_M_PLX_CON,62,PLX,CON,M,SS
73_M_PLX_CON,73,PLX,CON,M,KK
74_M_PLX_CON,74,PLX,CON,M,CC
82_M_PLX_CON,82,PLX,CON,M,M
55_F_VEH_CON,55,VEH,CON,F,G
56_F_VEH_CON,56,VEH,CON,F,A
84_F_VEH_CON,84,VEH,CON,F,BBB
79_F_VEH_CON,79,VEH,CON,F,DD
80_F_VEH_CON,80,VEH,CON,F,CCC
49_M_VEH_CON,49,VEH,CON,M,BB
50_M_VEH_CON,50,VEH,CON,M,S
57_M_VEH_CON,57,VEH,CON,M,LLL
58_M_VEH_CON,58,VEH,CON,M,KKK
