subject,group,diet,drug,sex,cage_num,PLX_admin,exclude,score_01,score_02,score_03,score_04,score_05,score_06,score_07,score_08,score_09,score_10,score_11,score_12
1,VEH-EtOH,EtOH,VEH,F,C00022030,s.c.,N,0,1,1,1,4,3,2,1,2,1,0,1
2,VEH-EtOH,EtOH,VEH,F,C00022030,s.c.,N,0,1,1,1,3,2,1,1,2,1,1,2
15,VEH-EtOH,EtOH,VEH,F,C00022028,s.c.,N,0,2,1,1,3,3,1,4,2,2,1,3
16,VEH-EtOH,EtOH,VEH,F,C00022028,s.c.,N,0,1,3,2,3,2,1,3,2,1,1,1
47,VEH-EtOH,EtOH,VEH,F,C00022038,s.c.,N,0,1,2,1,3,2,2,1,1,2,2,2
48,VEH-EtOH,EtOH,VEH,F,C00022038,s.c.,N,0,0,3,2,2,1,2,1,2,2,2,2
59,VEH-EtOH,EtOH,VEH,F,C00026496,s.c.,N,0,0,1,1,2,2,1,1,1,2,2,2
60,VEH-EtOH,EtOH,VEH,F,C00026496,s.c.,N,0,0,1,1,3,2,1,2,2,3,3,3
75,VEH-EtOH,EtOH,VEH,F,C00026499,s.c.,N,0,0,2,2,3,3,4,4,3,1,2,5
76,VEH-EtOH,EtOH,VEH,F,C00026499,s.c.,N,0,0,0,1,3,2,1,3,2,2,1,2
3,VEH-EtOH,EtOH,VEH,M,C00022015,s.c.,N,0,0,3,2,3,3,3,3,4,3,3,2
4,VEH-EtOH,EtOH,VEH,M,C00022015,s.c.,N,0,1,2,3,3,2,2,2,2,3,3,1
25,VEH-EtOH,EtOH,VEH,M,C00022018,s.c.,N,0,0,3,3,2,3,2,1,2,3,2,3
26,VEH-EtOH,EtOH,VEH,M,C00022018,s.c.,N,0,0,3,2,2,3,3,2,2,4,2,2
43,VEH-EtOH,EtOH,VEH,M,C00022017,s.c.,N,0,0,3,3,3,2,2,3,1,3,2,2
44,VEH-EtOH,EtOH,VEH,M,C00022017,s.c.,N,0,0,1,1,2,2,2,2,2,2,2,2
67,VEH-EtOH,EtOH,VEH,M,C00026489,s.c.,Y_FDpre4,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,VEH-EtOH,EtOH,VEH,M,C00026489,s.c.,N,0,0,1,1,3,2,2,2,2,2,4,4
69,VEH-EtOH,EtOH,VEH,M,C00026488,s.c.,N,0,0,1,2,3,2,2,4,4,4,2,2
70,VEH-EtOH,EtOH,VEH,M,C00026488,s.c.,N,0,0,1,1,2,2,3,3,2,3,1,2
17,PLX-EtOH,EtOH,PLX,F,C00022031,s.c.,Y_FDpre6,0,1,1,2,3,NA,NA,NA,NA,NA,NA,NA
18,PLX-EtOH,EtOH,PLX,F,C00022031,s.c.,N,0,0,2,2,2,2,2,3,3,4,4,3
23,PLX-EtOH,EtOH,PLX,F,C00022029,s.c.,N,0,0,2,2,3,3,3,3,4,4,4,3
24,PLX-EtOH,EtOH,PLX,F,C00022029,s.c.,N,0,0,2,1,3,3,2,2,2,3,3,2
33,PLX-EtOH,EtOH,PLX,F,C00022033,s.c.,N,0,2,2,0,3,2,4,2,3,3,2,2
34,PLX-EtOH,EtOH,PLX,F,C00022033,s.c.,N,0,2,2,1,1,2,1,1,1,2,2,2
63,PLX-EtOH,EtOH,PLX,F,C00026502,s.c.,N,0,0,3,2,1,2,1,3,3,2,2,2
64,PLX-EtOH,EtOH,PLX,F,C00026502,s.c.,N,0,1,2,2,1,3,3,2,2,2,3,2
83,PLX-EtOH,EtOH,PLX,F,C00026503,s.c.,N,0,1,2,2,1,1,2,1,2,2,2,2
71,PLX-EtOH,EtOH,PLX,F,C00026501,s.c.,N,0,1,1,1,2,2,1,3,3,2,2,2
72,PLX-EtOH,EtOH,PLX,F,C00026501,s.c.,N,0,0,1,1,2,2,0,1,1,1,1,1
7,PLX-EtOH,EtOH,PLX,M,C00022019,s.c.,N,0,0,2,3,3,3,3,3,3,3,2,2
8,PLX-EtOH,EtOH,PLX,M,C00022019,s.c.,N,0,1,2,3,3,3,3,2,4,3,3,2
11,PLX-EtOH,EtOH,PLX,M,C00022016,s.c.,N,0,0,2,3,2,2,2,3,3,3,2,2
12,PLX-EtOH,EtOH,PLX,M,C00022016,s.c.,N,0,1,2,3,3,3,3,3,3,3,3,2
35,PLX-EtOH,EtOH,PLX,M,C00022021,s.c.,N,0,1,3,3,4,4,4,4,4,4,4,4
36,PLX-EtOH,EtOH,PLX,M,C00022021,s.c.,Y_FDpre6,0,2,3,2,2,NA,NA,NA,NA,NA,NA,NA
51,PLX-EtOH,EtOH,PLX,M,C00026487,s.c.,N,0,0,3,3,3,3,4,3,3,4,4,4
52,PLX-EtOH,EtOH,PLX,M,C00026487,s.c.,Y_FDpre8,0,0,2,2,3,3,2,NA,NA,NA,NA,NA
65,PLX-EtOH,EtOH,PLX,M,C00026486,s.c.,N,0,0,3,2,1,2,2,2,3,2,2,2
66,PLX-EtOH,EtOH,PLX,M,C00026486,s.c.,N,0,1,2,1,2,3,1,2,1,3,4,4
81,PLX-EtOH,EtOH,PLX,M,C00026494,s.c.,N,0,0,3,2,2,3,2,2,3,2,3,3
