subject,group,drug,diet,sex,cage_num,PLX_admin,exclude,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08,day_09,day_10,day_11
5,VEH-CON,VEH,CON,F,C00022034,s.c.,N,100,108.91,114.36,116.34,112.87,109.9,110.4,108.91,106.93,102.97,100
6,VEH-CON,VEH,CON,F,C00022034,s.c.,N,100,105.16,108.92,110.8,105.63,105.63,101.41,100,98.12,94.37,92.49
27,VEH-CON,VEH,CON,F,C00022035,s.c.,N,100,104.95,116.22,114.86,115.77,109.46,108.11,104.05,99.55,96.4,95.05
28,VEH-CON,VEH,CON,F,C00022035,s.c.,Y_FDpre9,100,105.05,106.88,104.13,104.59,102.29,100,102.29,99.08,95.41,NA
29,VEH-CON,VEH,CON,F,C00022032,s.c.,N,100,103,107.5,107,105,100.5,99.5,95.5,96.5,94.5,93
30,VEH-CON,VEH,CON,F,C00022032,s.c.,N,100,103.59,115.25,111.66,113,108.52,106.73,105.83,105.38,103.14,100
13,VEH-CON,VEH,CON,M,C00022025,s.c.,N,100,101.45,106.1,107.27,106.98,105.81,105.23,101.74,101.16,97.67,97.38
14,VEH-CON,VEH,CON,M,C00022025,s.c.,N,100,104.05,108.67,107.51,106.65,104.34,103.47,101.16,99.71,99.13,95.38
37,VEH-CON,VEH,CON,M,C00022024,s.c.,N,100,104.01,105.35,104.01,108.29,105.88,100.53,99.2,96.52,95.19,91.44
38,VEH-CON,VEH,CON,M,C00022024,s.c.,N,100,104.62,107.61,104.62,106.52,105.43,103.53,101.36,97.83,95.92,93.48
45,VEH-CON,VEH,CON,M,C00022026,s.c.,N,100,101.48,109.79,109.2,113.06,108.31,107.12,105.64,102.67,100.3,95.55
46,VEH-CON,VEH,CON,M,C00022026,s.c.,N,100,102.55,105.67,108.78,109.63,107.37,105.38,104.25,101.42,98.58,97.45
1,VEH-EtOH,VEH,EtOH,F,C00022030,s.c.,N,100,104.65,109.77,106.98,106.51,109.3,104.19,103.72,100,97.67,94.42
