Name,Stain,Study,RatID,Sex,Drug,Diet,BrainRegion,SlideSlice,Magnification,num,Area,Density
Iba1_MGD56_01_F_VEH_EtOH_DGML_1-6_20X,Iba1,MGD56,01,F,VEH,EtOH,DGML,1-6,20X,22,232037.39331629,9.481230454098326e-5
Iba1_MGD56_01_F_VEH_EtOH_DGML_1-7_20X,Iba1,MGD56,01,F,VEH,EtOH,DGML,1-7,20X,20,232037.39331629,8.619300412816659e-5
Iba1_MGD56_01_F_VEH_EtOH_DGML_1-9_20X,Iba1,MGD56,01,F,VEH,EtOH,DGML,1-9,20X,29,232037.39331629,1.2497985598584156e-4
Iba1_MGD56_01_F_VEH_EtOH_Rhinal_1-7_20X,Iba1,MGD56,01,F,VEH,EtOH,Rhinal,1-7,20X,14,232037.39331629,6.033510288971662e-5
Iba1_MGD56_01_F_VEH_EtOH_Rhinal_1-9_20X,Iba1,MGD56,01,F,VEH,EtOH,Rhinal,1-9,20X,35,232037.39331629,1.5083775722429154e-4
Iba1_MGD56_02_F_VEH_EtOH_DGML_1-5_20X,Iba1,MGD56,02,F,VEH,EtOH,DGML,1-5,20X,48,232037.39331629,2.0686320990759985e-4
Iba1_MGD56_02_F_VEH_EtOH_DGML_1-6_20X,Iba1,MGD56,02,F,VEH,EtOH,DGML,1-6,20X,41,232037.39331629,1.7669565846274151e-4
Iba1_MGD56_02_F_VEH_EtOH_DGML_1-7_20X,Iba1,MGD56,02,F,VEH,EtOH,DGML,1-7,20X,33,232037.39331629,1.4221845681147488e-4
Iba1_MGD56_02_F_VEH_EtOH_DGML_1-8_20X,Iba1,MGD56,02,F,VEH,EtOH,DGML,1-8,20X,41,232037.39331629,1.7669565846274151e-4
Iba1_MGD56_02_F_VEH_EtOH_Rhinal_1-6_20X,Iba1,MGD56,02,F,VEH,EtOH,Rhinal,1-6,20X,42,232037.39331629,1.8100530866914987e-4
Iba1_MGD56_02_F_VEH_EtOH_Rhinal_1-7_20X,Iba1,MGD56,02,F,VEH,EtOH,Rhinal,1-7,20X,33,232037.39331629,1.4221845681147488e-4
Iba1_MGD56_03_M_VEH_EtOH_DGML_1-5_20X,Iba1,MGD56,03,M,VEH,EtOH,DGML,1-5,20X,46,232037.39331629,1.982439094947832e-4
Iba1_MGD56_03_M_VEH_EtOH_DGML_1-6_20X,Iba1,MGD56,03,M,VEH,EtOH,DGML,1-6,20X,34,232037.39331629,1.465281070178832e-4
Iba1_MGD56_03_M_VEH_EtOH_DGML_1-7_20X,Iba1,MGD56,03,M,VEH,EtOH,DGML,1-7,20X,45,232037.39331629,1.9393425928837486e-4
Iba1_MGD56_03_M_VEH_EtOH_DGML_1-8_20X,Iba1,MGD56,03,M,VEH,EtOH,DGML,1-8,20X,32,232037.39331629,1.3790880660506655e-4
Iba1_MGD56_03_M_VEH_EtOH_Rhinal_1-7_20X,Iba1,MGD56,03,M,VEH,EtOH,Rhinal,1-7,20X,41,232037.39331629,1.7669565846274151e-4
Iba1_MGD56_03_M_VEH_EtOH_Rhinal_1-8_20X,Iba1,MGD56,03,M,VEH,EtOH,Rhinal,1-8,20X,53,232037.39331629,2.284114609396415e-4
Iba1_MGD56_04_M_VEH_EtOH_DGML_1-11_20X,Iba1,MGD56,04,M,VEH,EtOH,DGML,1-11,20X,30,232037.39331629,1.292895061922499e-4
Iba1_MGD56_04_M_VEH_EtOH_DGML_1-12_20X,Iba1,MGD56,04,M,VEH,EtOH,DGML,1-12,20X,31,232037.39331629,1.3359915639865822e-4
Iba1_MGD56_04_M_VEH_EtOH_DGML_1-13_20X,Iba1,MGD56,04,M,VEH,EtOH,DGML,1-13,20X,20,232037.39331629,8.619300412816659e-5
Iba1_MGD56_04_M_VEH_EtOH_Rhinal_1-11_20X,Iba1,MGD56,04,M,VEH,EtOH,Rhinal,1-11,20X,26,232037.39331629,1.1205090536661658e-4
Iba1_MGD56_04_M_VEH_EtOH_Rhinal_1-12_20X,Iba1,MGD56,04,M,VEH,EtOH,Rhinal,1-12,20X,27,232037.39331629,1.1636055557302491e-4
Iba1_MGD56_04_M_VEH_EtOH_Rhinal_1-13_20X,Iba1,MGD56,04,M,VEH,EtOH,Rhinal,1-13,20X,32,232037.39331629,1.3790880660506655e-4
Iba1_MGD56_05_F_VEH_CON_DGML_1-10_20X,Iba1,MGD56,05,F,VEH,CON,DGML,1-10,20X,36,232037.39331629,1.5514740743069987e-4
Iba1_MGD56_05_F_VEH_CON_DGML_1-11_20X,Iba1,MGD56,05,F,VEH,CON,DGML,1-11,20X,27,232037.39331629,1.1636055557302491e-4
Iba1_MGD56_05_F_VEH_CON_DGML_1-12_20X,Iba1,MGD56,05,F,VEH,CON,DGML,1-12,20X,46,232037.39331629,1.982439094947832e-4
