contrast,day,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
F PLX - M PLX,day_01,0.28888888888888864,0.4531941026741412,34,0.6374506799277738,0.5281009638777516,1,ns
F PLX - F VEH,day_01,-0.4999999999999991,0.44110674830327945,34,-1.1335124704467865,0.2649287838342084,1,ns
M PLX - M VEH,day_01,-0.7777777777777781,0.46496733863632567,34,-1.6727578759808701,0.10355359619042631,1,ns
F VEH - M VEH,day_01,0.0111111111111096,0.4531941026741412,34,0.024517333843372607,0.9805832904695801,1,ns
F PLX - M PLX,day_02,2.5,0.6391346500887592,34,3.911538827777237,4.16964254344107e-4,0.006671428069505712,**
F PLX - F VEH,day_02,0.8999999999999977,0.6220879873878672,34,1.4467406833864074,0.15712675871229573,1,ns
M PLX - M VEH,day_02,-1.1111111111111112,0.655738315058587,34,-1.694442867825771,0.09932358334312909,1,ns
F VEH - M VEH,day_02,0.48888888888889115,0.6391346500887592,34,0.7649231485431077,0.44959435337852316,1,ns
F PLX - M PLX,day_03,1.9333333333333322,1.0203947859748868,34,1.8946915055884204,0.066663837408489,1,ns
F PLX - F VEH,day_03,-0.8000000000000014,0.9931793537715986,34,-0.8054939895417694,0.4261323427561591,1,ns
M PLX - M VEH,day_03,-1.2222222222222225,1.046902960990798,34,-1.1674646722419246,0.25114519737462776,1,ns
F VEH - M VEH,day_03,1.511111111111111,1.0203947859748868,34,1.4809083032185364,0.14783945346907149,1,ns
F PLX - M PLX,day_04,1.6777777777777767,0.9559544690968296,34,1.755081263820979,0.0882535874185733,1,ns
F PLX - F VEH,day_04,-1.6000000000000005,0.9304577550791481,34,-1.7195837116365362,0.09460071036208934,1,ns
M PLX - M VEH,day_04,-1.2222222222222232,0.980788590872404,34,-1.2461627649390434,0.22122297318161352,1,ns
F VEH - M VEH,day_04,2.055555555555554,0.9559544690968296,34,2.1502651245488815,0.03873307165473231,0.619729146475717,ns
