contrast,session,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
F PLX - M PLX,score_02,0.25555555555555565,0.2907119450652673,34,0.8790679567644916,0.38553516874913774,1,ns
F PLX - F VEH,score_02,0.10000000000000003,0.28295822920905506,34,0.35340905362437114,0.7259637784127205,1,ns
M PLX - M VEH,score_02,0.3333333333333335,0.29826416232953296,34,1.1175775551775975,0.2715824715093457,1,ns
F VEH - M VEH,score_02,0.48888888888888904,0.2907119450652673,34,1.6816952216364185,0.1017924323847643,1,ns
F PLX - M PLX,score_03,-0.5444444444444438,0.36640909947379413,34,-1.4858922587521135,0.1465220981552502,1,ns
F PLX - F VEH,score_03,0.3999999999999996,0.356636428991291,34,1.1215904138883341,0.269895725033236,1,ns
M PLX - M VEH,score_03,0.44444444444444453,0.3759278040671288,34,1.1822601032326965,0.24530495606361383,1,ns
F VEH - M VEH,score_03,-0.4999999999999989,0.36640909947379413,34,-1.3645949315070416,0.1813443688687855,1,ns
F PLX - M PLX,score_04,-1.1555555555555554,0.3222278566106437,34,-3.586144189115975,0.0010412641780917495,0.04581562383603698,*
F PLX - F VEH,score_04,0.09999999999999923,0.3136335649637892,34,0.3188434248469063,0.7517958355660456,1,ns
M PLX - M VEH,score_04,0.5555555555555558,0.33059880532131963,34,1.6804523991415923,0.10203583816537046,1,ns
F VEH - M VEH,score_04,-0.699999999999999,0.3222278566106437,34,-2.172375806868328,0.03689249701690309,1,ns
F PLX - M PLX,score_05,-0.6555555555555557,0.3365746546970807,34,-1.9477270388810464,0.05974312190922294,1,ns
F PLX - F VEH,score_05,-1.0000000000000009,0.3275977128093367,34,-3.052524364179567,0.004384650631899893,0.1929246278035953,ns
M PLX - M VEH,score_05,1.1102230246251565e-16,0.3453183095797407,34,3.215071410422228e-16,0.9999999999999998,1,ns
F VEH - M VEH,score_05,0.3444444444444453,0.3365746546970807,34,1.0233820034798742,0.31335387112153773,1,ns
F PLX - M PLX,score_06,-0.6888888888888889,0.2739739556875101,34,-2.514432027526819,0.016819296013523777,0.7400490245950462,ns
F PLX - F VEH,score_06,-6.661338147750939e-16,0.2666666666666667,34,-2.498001805406602e-15,0.999999999999998,1,ns
M PLX - M VEH,score_06,0.555555555555556,0.28109134757052273,34,1.976423537605238,0.056264601405300305,1,ns
F VEH - M VEH,score_06,-0.13333333333333225,0.2739739556875101,34,-0.4866642633922836,0.6296188333788388,1,ns
F PLX - M PLX,score_07,-0.7666666666666667,0.44084737180656774,34,-1.7390750534020647,0.09106978996071328,1,ns
F PLX - F VEH,score_07,0.2999999999999992,0.42908932293733854,34,0.699155126830805,0.48921072706981483,1,ns
M PLX - M VEH,score_07,0.3333333333333334,0.45229986004717376,34,0.736974212856417,0.466193456379279,1,ns
F VEH - M VEH,score_07,-0.7333333333333326,0.44084737180656774,34,-1.663463094558495,0.10541195337081669,1,ns
F PLX - M PLX,score_08,-0.5666666666666659,0.4459044646287918,34,-1.2708252812368825,0.21241744531904877,1,ns
F PLX - F VEH,score_08,-1.6653345369377348e-16,0.4340115356438068,34,-3.837074363628147e-16,0.9999999999999998,1,ns
M PLX - M VEH,score_08,0.22222222222222213,0.4574883278072609,34,0.4857440260548986,0.6302644693033248,1,ns
F VEH - M VEH,score_08,-0.34444444444444355,0.4459044646287918,34,-0.7724624258498689,0.4451773525022872,1,ns
F PLX - M PLX,score_09,-0.5999999999999998,0.39634770501161454,34,-1.5138223141279887,0.13931239708188584,1,ns
F PLX - F VEH,score_09,0.4999999999999996,0.38577652781340227,34,1.296087148780204,0.20367477566462047,1,ns
M PLX - M VEH,score_09,0.6666666666666669,0.4066441652405492,34,1.6394349744875893,0.11034438649167268,1,ns
F VEH - M VEH,score_09,-0.4333333333333325,0.39634770501161454,34,-1.0933161157591014,0.2819410420868741,1,ns
F PLX - M PLX,score_10,-0.49999999999999845,0.3576429738328799,34,-1.398042284017131,0.1711548413004935,1,ns
F PLX - F VEH,score_10,0.7999999999999996,0.3481041088356115,34,2.2981630486234543,0.027829116777516233,1,ns
M PLX - M VEH,score_10,-5.551115123125783e-17,0.36693394892789216,34,-1.5128377026287794e-16,0.9999999999999999,1,ns
F VEH - M VEH,score_10,-1.299999999999998,0.3576429738328799,34,-3.6349099384445465,9.092796641623517e-4,0.04000830522314347,*
F PLX - M PLX,score_11,-0.4999999999999998,0.4094472601245847,34,-1.2211584951084105,0.23042665680042082,1,ns
F PLX - F VEH,score_11,1,0.39852669849304284,34,2.509242175696937,0.017028316279628822,0.7492459163036682,ns
M PLX - M VEH,score_11,0.666666666666667,0.420084025208403,34,1.5869840952317449,0.12177400982780731,1,ns
F VEH - M VEH,score_11,-0.8333333333333328,0.4094472601245847,34,-2.035264158514017,0.04967923349041593,1,ns
F PLX - M PLX,score_12,-0.6777777777777774,0.41778716440574504,34,-1.622303975618398,0.11397605567809707,1,ns
F PLX - F VEH,score_12,-0.20000000000000023,0.40664416524054897,34,-0.4918304923462775,0.6259997201072487,1,ns
M PLX - M VEH,score_12,0.5555555555555554,0.4286405864593358,34,1.2960871487802048,0.20367477566462022,1,ns
F VEH - M VEH,score_12,0.07777777777777828,0.41778716440574504,34,0.18616602998899778,0.8534208702423668,1,ns
