contrast,day,estimate,SE,df,t.ratio,p.value,p.adj,p<.05
CON PLX - EtOH PLX,day_01,0.11111111111110983,6.797863550676459,35,0.01634500461546527,0.9870519747539905,1,ns
CON PLX - CON VEH,day_01,-1.2888888888888907,6.797863550676459,35,-0.18960205353939957,0.8507162936792292,1,ns
EtOH PLX - EtOH VEH,day_01,3.0000000000000604,6.616554515062479,35,0.4534081889857643,0.6530535814961975,1,ns
CON VEH - EtOH VEH,day_01,4.400000000000061,6.616554515062478,35,0.6649986771791169,0.5104097627507307,1,ns
CON PLX - EtOH PLX,day_02,-1.7111111111111132,7.203711320571049,35,-0.23753188252072696,0.8136291785179659,1,ns
CON PLX - CON VEH,day_02,-6.111111111111111,7.203711320571049,35,-0.848328151859738,0.40201992517883134,1,ns
EtOH PLX - EtOH VEH,day_02,-0.6999999999999318,7.011577727032786,35,-0.09983487700651408,0.9210450816035463,1,ns
CON VEH - EtOH VEH,day_02,3.700000000000066,7.011577727032785,35,0.5276986356059211,0.6010381927319222,1,ns
CON PLX - EtOH PLX,day_03,4.711111111111109,8.438180216228618,35,0.5583088995954989,0.5801878290322157,1,ns
CON PLX - CON VEH,day_03,-14.98888888888888,8.438180216228616,35,-1.7763177017790757,0.08437482505442176,1,ns
EtOH PLX - EtOH VEH,day_03,-10.09999999999999,8.213121518604549,35,-1.2297395061209362,0.22699725420215963,1,ns
CON VEH - EtOH VEH,day_03,9.6,8.213121518604547,35,1.1688613127486138,0.2503591193425578,1,ns
CON PLX - EtOH PLX,day_04,7.255555555555551,8.258321867700893,35,0.8785750509353166,0.38562365143527766,1,ns
CON PLX - CON VEH,day_04,-6.3444444444444406,8.258321867700891,35,-0.768248628000101,0.44749226084243765,1,ns
EtOH PLX - EtOH VEH,day_04,-8.499999999999986,8.038060257202151,35,-1.0574690569635794,0.29754191173556976,1,ns
CON VEH - EtOH VEH,day_04,5.100000000000007,8.03806025720215,35,0.6344814341781497,0.5298924071413933,1,ns
CON PLX - EtOH PLX,day_05,9.333333333333332,8.469079146359514,35,1.1020481887154547,0.2779615615592362,1,ns
CON PLX - CON VEH,day_05,-0.06666666666666488,8.469079146359514,35,-0.007871772776538753,0.9937639969944878,1,ns
EtOH PLX - EtOH VEH,day_05,-1.900000000000004,8.243196328748073,35,-0.2304931150764626,0.8190505922379142,1,ns
CON VEH - EtOH VEH,day_05,7.499999999999993,8.243196328748073,35,0.909841243722876,0.36912962976912056,1,ns
CON PLX - EtOH PLX,day_06,1.799999999999996,8.302311783616716,35,0.21680708300452026,0.8296175195010872,1,ns
CON PLX - CON VEH,day_06,4.800000000000001,8.302311783616716,35,0.5781522213453887,0.566863001849476,1,ns
EtOH PLX - EtOH VEH,day_06,4.800000000000027,8.080876897253876,35,0.5939949415181923,0.5563355817172233,1,ns
CON VEH - EtOH VEH,day_06,1.8000000000000218,8.080876897253876,35,0.22274810306932352,0.8250264078927259,1,ns
CON PLX - EtOH PLX,day_07,2.211111111111107,8.179748296063204,35,0.2703152995765509,0.788505327955143,1,ns
CON PLX - CON VEH,day_07,11.511111111111106,8.179748296063204,35,1.4072695998055635,0.16816654258335126,1,ns
EtOH PLX - EtOH VEH,day_07,13.400000000000038,7.961582358475837,35,1.6830825075538538,0.10126014689209607,1,ns
CON VEH - EtOH VEH,day_07,4.100000000000039,7.9615823584758365,35,0.5149730060426005,0.6098091118731572,1,ns
CON PLX - EtOH PLX,day_08,2.799999999999997,8.105304945155874,35,0.3454527644482289,0.7318217251625422,1,ns
CON PLX - CON VEH,day_08,18.49999999999999,8.105304945155874,35,2.2824557651043706,0.02865121664404296,1,ns
EtOH PLX - EtOH VEH,day_08,21.40000000000001,7.8891245214082995,35,2.7125950340786185,0.010282628177719315,0.45243563981964985,ns
CON VEH - EtOH VEH,day_08,5.700000000000017,7.889124521408298,35,0.7225136305723443,0.4747791225824147,1,ns
CON PLX - EtOH PLX,day_09,7.2555555555555475,8.350565463644378,35,0.8688699690031598,0.3908375865163767,1,ns
CON PLX - CON VEH,day_09,18.35555555555554,8.350565463644378,35,2.198121269208607,0.03464544077087415,1,ns
EtOH PLX - EtOH VEH,day_09,20.400000000000013,8.127843580547136,35,2.509890821327391,0.01685304237302052,0.7415338644129028,ns
CON VEH - EtOH VEH,day_09,9.300000000000024,8.127843580547134,35,1.1442149332521954,0.26029971806337854,1,ns
CON PLX - EtOH PLX,day_10,12.8111111111111,8.395073931415553,35,1.526027193539072,0.1359899690524081,1,ns
CON PLX - CON VEH,day_10,22.611111111111097,8.395073931415553,35,2.693378437859508,0.010784404924102986,0.4745138166605314,ns
EtOH PLX - EtOH VEH,day_10,20.399999999999988,8.171164941912291,35,2.496584042180134,0.017396855005300603,0.7654616202332265,ns
CON VEH - EtOH VEH,day_10,10.59999999999999,8.171164941912291,35,1.2972446493681085,0.20303320701812644,1,ns
CON PLX - EtOH PLX,day_11,17.244444444444436,6.973555997133021,35,2.4728337237894125,0.018407506821969535,0.8099303001666596,ns
CON PLX - CON VEH,day_11,24.74444444444443,6.973555997133021,35,3.5483251951540082,0.001126933845912773,0.04958508922016201,*
EtOH PLX - EtOH VEH,day_11,17.699999999999978,6.787560985139223,35,2.607711376553757,0.013309480516643872,0.5856171427323303,ns
CON VEH - EtOH VEH,day_11,10.199999999999985,6.787560985139221,35,1.5027489288614873,0.14187375469268426,1,ns
