sex,variable,n,min,max,median,iqr,mean,sd,se,ci
F,day_01,22,200,228,212,15.75,212.682,8.861,1.889,3.929
F,day_02,22,206,237,219,19.5,220.045,10.417,2.221,4.619
F,day_03,22,212,258,231.5,27.5,231.455,14.494,3.09,6.426
F,day_04,22,212,261,232.5,16.5,233.182,14.5,3.091,6.429
F,day_05,22,210,263,226.5,23.75,232.091,15.452,3.294,6.851
F,day_06,22,201,252,227.5,23.25,230.636,14.281,3.045,6.332
F,day_07,22,199,250,228.5,20.75,229.864,14.753,3.145,6.541
F,day_08,22,191,257,231,21.75,230.545,16.5,3.518,7.316
F,day_09,22,193,257,221.5,23.5,222.955,17.151,3.657,7.604
F,day_10,22,186,254,214.5,21.5,216.909,17.262,3.68,7.654
F,day_11,22,182,250,211.5,23.25,212.591,17.489,3.729,7.754
M,day_01,22,337,390,353,13.5,353.636,12.651,2.697,5.609
M,day_02,22,335,395,360.5,15.25,363.364,14.757,3.146,6.543
M,day_03,22,340,399,371,23.5,372.636,15.996,3.41,7.092
M,day_04,22,346,399,371.5,22.75,373.182,15.604,3.327,6.918
M,day_05,22,350,405,379.5,25.5,381.091,16.233,3.461,7.197
M,day_06,22,355,417,382.5,23,382.682,17.502,3.731,7.76
M,day_07,22,350,432,377,26,381.5,23.38,4.985,10.366
M,day_08,22,343,446,378.5,30,384.455,29.891,6.373,13.253
M,day_09,22,331,450,368,42.5,376.409,32.132,6.85,14.246
M,day_10,22,318,443,356.5,39.75,367.227,32.831,7,14.557
M,day_11,22,311,439,344,40,358.955,35.231,7.511,15.62
