subject,group,sex,dob,age_at_arrival,cage_num,PLX_admin,exclude,notes
17,PLX-EtOH,F,6/24/25,9_weeks,C00022031,s.c.,Y_FDpre6,FD 9/7/25 pre-dose 6
18,PLX-EtOH,F,6/24/25,9_weeks,C00022031,s.c.,N,
23,PLX-EtOH,F,6/24/25,9_weeks,C00022029,s.c.,N,
24,PLX-EtOH,F,6/24/25,9_weeks,C00022029,s.c.,N,
7,PLX-EtOH,M,6/24/25,9_weeks,C00022019,s.c.,N,
8,PLX-EtOH,M,6/24/25,9_weeks,C00022019,s.c.,N,
11,PLX-EtOH,M,6/24/25,9_weeks,C00022016,s.c.,N,
12,PLX-EtOH,M,6/24/25,9_weeks,C00022016,s.c.,N,
1,VEH-EtOH,F,6/24/25,9_weeks,C00022030,s.c.,N,
2,VEH-EtOH,F,6/24/25,9_weeks,C00022030,s.c.,N,
15,VEH-EtOH,F,6/24/25,9_weeks,C00022028,s.c.,N,
16,VEH-EtOH,F,6/24/25,9_weeks,C00022028,s.c.,N,
3,VEH-EtOH,M,6/24/25,9_weeks,C00022015,s.c.,N,
4,VEH-EtOH,M,6/24/25,9_weeks,C00022015,s.c.,N,
21,PLX-CON,F,6/24/25,9_weeks,C00022037,s.c.,N,
22,PLX-CON,F,6/24/25,9_weeks,C00022037,s.c.,N,
9,PLX-CON,M,6/24/25,9_weeks,C00022023,s.c.,N,
10,PLX-CON,M,6/24/25,9_weeks,C00022023,s.c.,N,
19,PLX-CON,M,6/24/25,9_weeks,C00022022,s.c.,N,
20,PLX-CON,M,6/24/25,9_weeks,C00022022,s.c.,N,
5,VEH-CON,F,6/24/25,9_weeks,C00022034,s.c.,N,
6,VEH-CON,F,6/24/25,9_weeks,C00022034,s.c.,N,
13,VEH-CON,M,6/24/25,9_weeks,C00022025,s.c.,N,
14,VEH-CON,M,6/24/25,9_weeks,C00022025,s.c.,N,
33,PLX-EtOH,F,6/24/25,9_weeks,C00022033,s.c.,N,
34,PLX-EtOH,F,6/24/25,9_weeks,C00022033,s.c.,N,
35,PLX-EtOH,M,6/24/25,9_weeks,C00022021,s.c.,N,hind limb/paw edema; noticed at dose 8
36,PLX-EtOH,M,6/24/25,9_weeks,C00022021,s.c.,Y_FDpre6,FD 9/8/25 pre-dose 6
47,VEH-EtOH,F,6/24/25,9_weeks,C00022038,s.c.,N,
48,VEH-EtOH,F,6/24/25,9_weeks,C00022038,s.c.,N,
25,VEH-EtOH,M,6/24/25,9_weeks,C00022018,s.c.,N,
26,VEH-EtOH,M,6/24/25,9_weeks,C00022018,s.c.,N,
43,VEH-EtOH,M,6/24/25,9_weeks,C00022017,s.c.,N,
44,VEH-EtOH,M,6/24/25,9_weeks,C00022017,s.c.,N,
39,PLX-CON,F,6/24/25,9_weeks,C00022027,s.c.,N,
40,PLX-CON,F,6/24/25,9_weeks,C00022027,s.c.,N,
41,PLX-CON,F,6/24/25,9_weeks,C00022036,s.c.,N,
42,PLX-CON,F,6/24/25,9_weeks,C00022036,s.c.,N,
31,PLX-CON,M,6/24/25,9_weeks,C00022020,s.c.,Y_FDpost9,FD post-dose 9 9/9/25
32,PLX-CON,M,6/24/25,9_weeks,C00022020,s.c.,N,
27,VEH-CON,F,6/24/25,9_weeks,C00022035,s.c.,N,
28,VEH-CON,F,6/24/25,9_weeks,C00022035,s.c.,Y_FDpre9,FD 9/9/25 pre-dose 9
29,VEH-CON,F,6/24/25,9_weeks,C00022032,s.c.,N,
30,VEH-CON,F,6/24/25,9_weeks,C00022032,s.c.,N,
37,VEH-CON,M,6/24/25,9_weeks,C00022024,s.c.,N,
38,VEH-CON,M,6/24/25,9_weeks,C00022024,s.c.,N,
45,VEH-CON,M,6/24/25,9_weeks,C00022026,s.c.,N,
46,VEH-CON,M,6/24/25,9_weeks,C00022026,s.c.,N,
63,PLX-EtOH,F,8/19/25,9_weeks,C00026502,s.c.,N,
64,PLX-EtOH,F,8/19/25,9_weeks,C00026502,s.c.,N,
83,PLX-EtOH,F,8/19/25,9_weeks,C00026503,s.c.,N,
