subject,group,drug,diet,sex,cage_num,PLX_admin,exclude,day_01,day_02,day_03,day_04,day_05,day_06,day_07,day_08,day_09,day_10,day_11
5,VEH-CON,VEH,CON,F,C00022034,s.c.,N,202,220,231,235,228,222,223,220,216,208,202
6,VEH-CON,VEH,CON,F,C00022034,s.c.,N,213,224,232,236,225,225,216,213,209,201,197
27,VEH-CON,VEH,CON,F,C00022035,s.c.,N,222,233,258,255,257,243,240,231,221,214,211
28,VEH-CON,VEH,CON,F,C00022035,s.c.,Y_FDpre9,218,229,233,227,228,223,218,223,216,208,NA
29,VEH-CON,VEH,CON,F,C00022032,s.c.,N,200,206,215,214,210,201,199,191,193,189,186
30,VEH-CON,VEH,CON,F,C00022032,s.c.,N,223,231,257,249,252,242,238,236,235,230,223
55,VEH-CON,VEH,CON,F,C00026498,s.c.,N,257,272,290,276,268,267,256,258,246,237,233
56,VEH-CON,VEH,CON,F,C00026498,s.c.,N,233,237,292,259,251,242,240,240,236,230,218
84,VEH-CON,VEH,CON,F,C00026503,s.c.,N,215,213,238,234,240,229,220,219,219,216,207
79,VEH-CON,VEH,CON,F,C00026495,s.c.,N,229,234,248,250,253,245,236,218,221,210,207
80,VEH-CON,VEH,CON,F,C00026495,s.c.,N,230,240,260,271,270,266,258,259,256,250,233
1,VEH-EtOH,VEH,EtOH,F,C00022030,s.c.,N,215,225,236,230,229,235,224,223,215,210,203
2,VEH-EtOH,VEH,EtOH,F,C00022030,s.c.,N,228,236,246,261,263,252,250,251,240,229,226
15,VEH-EtOH,VEH,EtOH,F,C00022028,s.c.,N,203,210,230,226,213,210,206,206,200,194,185
16,VEH-EtOH,VEH,EtOH,F,C00022028,s.c.,N,203,207,219,227,223,217,211,215,198,186,182
47,VEH-EtOH,VEH,EtOH,F,C00022038,s.c.,N,211,225,245,238,235,230,228,223,215,209,204
48,VEH-EtOH,VEH,EtOH,F,C00022038,s.c.,N,217,230,246,239,238,244,242,236,224,218,215
59,VEH-EtOH,VEH,EtOH,F,C00026496,s.c.,N,221,222,236,248,241,238,225,214,203,203,197
60,VEH-EtOH,VEH,EtOH,F,C00026496,s.c.,N,221,242,260,255,253,254,242,221,217,209,199
75,VEH-EtOH,VEH,EtOH,F,C00026499,s.c.,N,211,219,238,231,222,226,215,206,207,192,185
76,VEH-EtOH,VEH,EtOH,F,C00026499,s.c.,N,250,257,269,273,262,258,242,233,240,229,219
21,PLX-CON,PLX,CON,F,C00022037,s.c.,N,223,228,244,255,247,247,246,250,257,254,250
22,PLX-CON,PLX,CON,F,C00022037,s.c.,N,214,218,233,240,249,249,248,251,245,236,233
39,PLX-CON,PLX,CON,F,C00022027,s.c.,N,207,210,222,226,222,224,229,231,230,231,227
40,PLX-CON,PLX,CON,F,C00022027,s.c.,N,209,217,218,218,225,220,230,233,227,223,224
41,PLX-CON,PLX,CON,F,C00022036,s.c.,N,228,237,247,249,249,251,250,249,243,238,236
42,PLX-CON,PLX,CON,F,C00022036,s.c.,N,205,209,217,212,216,217,220,230,219,215,212
53,PLX-CON,PLX,CON,F,C00026500,s.c.,N,224,228,246,246,266,259,251,245,247,236,231
54,PLX-CON,PLX,CON,F,C00026500,s.c.,N,224,221,243,245,249,242,234,247,244,249,240
77,PLX-CON,PLX,CON,F,C00026497,s.c.,N,256,256,264,283,285,278,289,287,280,288,275
78,PLX-CON,PLX,CON,F,C00026497,s.c.,Y_FD_pre8,220,220,231,232,243,254,246,242,244,233,NA
17,PLX-EtOH,PLX,EtOH,F,C00022031,s.c.,Y_FDpre6,251,261,269,256,255,256,268,275,263,NA,NA
18,PLX-EtOH,PLX,EtOH,F,C00022031,s.c.,N,205,211,216,225,225,225,228,238,222,214,207
23,PLX-EtOH,PLX,EtOH,F,C00022029,s.c.,N,203,208,215,214,211,220,217,216,205,198,198
24,PLX-EtOH,PLX,EtOH,F,C00022029,s.c.,N,213,209,212,216,224,233,237,244,234,225,219
33,PLX-EtOH,PLX,EtOH,F,C00022033,s.c.,N,224,232,236,241,243,244,249,257,247,236,227
34,PLX-EtOH,PLX,EtOH,F,C00022033,s.c.,N,211,215,217,224,222,223,226,228,210,214,210
63,PLX-EtOH,PLX,EtOH,F,C00026502,s.c.,N,230,245,256,255,252,267,277,275,266,261,242
64,PLX-EtOH,PLX,EtOH,F,C00026502,s.c.,N,237,239,245,250,249,253,239,236,227,214,218
83,PLX-EtOH,PLX,EtOH,F,C00026503,s.c.,N,225,233,239,230,239,237,236,232,237,235,226
71,PLX-EtOH,PLX,EtOH,F,C00026501,s.c.,N,242,245,251,257,257,259,261,261,255,244,219
72,PLX-EtOH,PLX,EtOH,F,C00026501,s.c.,N,220,229,237,231,238,251,249,255,260,242,226
13,VEH-CON,VEH,CON,M,C00022025,s.c.,N,344,349,365,369,368,364,362,350,348,336,335
14,VEH-CON,VEH,CON,M,C00022025,s.c.,N,346,360,376,372,369,361,358,350,345,343,330
37,VEH-CON,VEH,CON,M,C00022024,s.c.,N,374,389,394,389,405,396,376,371,361,356,342
38,VEH-CON,VEH,CON,M,C00022024,s.c.,N,368,385,396,385,392,388,381,373,360,353,344
45,VEH-CON,VEH,CON,M,C00022026,s.c.,N,337,342,370,368,381,365,361,356,346,338,322
46,VEH-CON,VEH,CON,M,C00022026,s.c.,N,353,362,373,384,387,379,372,368,358,348,344
